round,total_counts,sum_squares,centroids
11,"[30282.0, 38988.0, 3846.0]",2188.9250170417117,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
12,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
13,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.13215761543320728, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
14,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
15,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
16,"[30282.0, 38988.0, 3846.0]",2188.924787949552,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
17,"[30282.0, 38988.0, 3846.0]",2188.924787949552,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
18,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
19,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
20,"[30282.0, 38988.0, 3846.0]",2188.924787949552,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
21,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
22,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
23,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
24,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
25,"[30282.0, 38988.0, 3846.0]",2188.9247879495524,"[[0.48369468432005314, 0.08795034027615324, 0.1919169557224058, 0.1321576154332073, 0.050399578808675086], [0.1533762605213385, 0.13409330200365827, 0.13286998997470306, 0.09614594019220199, 0.03823740752101422], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
